BRUTE FORCE ;;;;;;
;;;;;B & B;
ROZMIAR 6;;6;;;;
249200;0.2492;7;;;;6
;;8;;;6.8444;7
ROZMIAR 7;;9;;;;8
777500;0.7775;10;;;;9
;;11;;;84.7306;10
ROZMIAR 8;;12;;;;11
4.78E+06;4.7777;;;;;12
;;;;;207.821;
ROZMIAR 9;;;;;;
4.09E+07;40.8653;;;;;
;;;;;644.748;
ROZMIAR 10;;;;;;
3.76E+08;376.123;;;;;
;;;;;1558.78;
ROZMIAR 11;;;;;;
4.00E+09;3996.29;;;;;
;;;;;4109.68;
ROZMIAR 12;;;;;;
4.73E+10;47309.7;;;;;
;;;;;11895.3;
;;;;;;
;;;;;;
;;;;;;
;;czas [ms];;;;
;iloϾ miast ;Brute Force;Branch & Bound;;;
;6;0.2492;6.8444;;;
;7;0.7775;84.7306;;;
;8;4.7777;207.821;;;
;9;40.8653;644.748;;;
;10;376.123;1558.78;;;
;11;3996.29;4109.68;;;
;12;47309.7;11895.3;;;
;;;;;;
;;;;;;
;;40.8653;644.748;;;
;;;;;;
;;;;;;
;;376.123;1558.78;;;
;;;;;;
;;;;;;
;;3996.29;4109.68;;;
;;;;;;
;;;;;;
;;47309.7;11895.3;;;
